Poster,Title,Year,Genre,Cast,Rating
"https://m.media-amazon.com/images/M/MV5BYWRkZjJiODEtM2IwZi00ZjM1LWEyOTUtOThjMDk3YThjZDUzXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY209_CR0,0,140,209_AL_.jpg",The Idea of You,2023.0,"Comedy, Drama, Romance","Anne Hathaway, Nicholas Galitzine, Ella Rubin, Annie Mumolo",6.4
"https://m.media-amazon.com/images/M/MV5BZGI4NTEwNTAtZDcwMi00MDkxLTg1OGYtNTZmMzE3ZDljNzVlXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UY209_CR0,0,140,209_AL_.jpg",Kingdom of the Planet of the Apes,2023.0,"Action, Adventure, Sci-Fi","Owen Teague, Freya Allan, Kevin Durand, Peter Macon",7.3
"https://m.media-amazon.com/images/M/MV5BZjIyOTBmNzEtY2YxNC00YzgyLTgxZGYtOWM4NTYwNmZkNzA1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Unfrosted,2023.0,"Biography, Comedy, History","Isaac Bae, Jerry Seinfeld, Chris Rickett, Rachael Harris",5.5
"https://m.media-amazon.com/images/M/MV5BMjA5ZjA3ZjMtMzg2ZC00ZDc4LTk3MTctYTE1ZTUzZDIzMjQyXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_UX140_CR0,0,140,209_AL_.jpg",The Fall Guy,2023.0,"Action, Comedy, Drama","Ryan Gosling, Emily Blunt, Aaron Taylor-Johnson, Hannah Waddingham",7.3
"https://m.media-amazon.com/images/M/MV5BNTk1MTdmYzctNzlkOS00ZTNmLWI4ZTMtMzc3OWFkMDI0MTJkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Challengers,2023.0,"Drama, Romance, Sport","Zendaya, Mike Faist, Josh O'Connor, Darnell Appling",7.7
"https://m.media-amazon.com/images/M/MV5BY2JlYjlkNzMtNTU3OS00NDVmLTk4NTYtYTM4ZTEwMGM4NDBiXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UX140_CR0,0,140,209_AL_.jpg",Abigail,2023.0,"Horror, Thriller","Tyler Gillett, Melissa Barrera, Dan Stevens, Alisha Weir, William Catlett",6.8
"https://m.media-amazon.com/images/M/MV5BYTYyODhlODktYjUzNC00NjUyLWI1MzYtNmI0MTY3YTUxYjY2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Civil War,2023.0,"Action, Adventure, Thriller","Kirsten Dunst, Wagner Moura, Cailee Spaeny, Nick Offerman",7.5
"https://m.media-amazon.com/images/M/MV5BOTVhZGU2OWQtNDM1Ni00MzM3LTgzYjgtOTEwYzQzOWZjNTIyXkEyXkFqcGdeQXVyMTcwOTQzOTYy._V1_UY209_CR0,0,140,209_AL_.jpg",Anyone But You,2023.0,"Comedy, Romance","Sydney Sweeney, Glen Powell, Alexandra Shipp, Mia Artemis",6.1
"https://m.media-amazon.com/images/M/MV5BOWI5YTlkNTktOTJlMC00MmYyLThkNzQtYmExOGZkZDE1ZjgwXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_UY209_CR0,0,140,209_AL_.jpg",The Ministry of Ungentlemanly Warfare,2023.0,"Action, Drama, War","Henry Cavill, Alan Ritchson, Alex Pettyfer, Eiza González",7.0
"https://m.media-amazon.com/images/M/MV5BN2QyZGU4ZDctOWMzMy00NTc5LThlOGQtODhmNDI1NmY5YzAwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Dune: Part Two,2023.0,"Action, Adventure, Drama","Timothée Chalamet, Zendaya, Rebecca Ferguson, Javier Bardem",8.7
